"rawname","name","rawaffiliation","affiliation","stance"
"Natasha Mallette","natasha mallette","Professional Practice Engineer, Oregon State University","oregon state university","California Letter 2"
"Igor Mandel","igor mandel","President, Redviser Inc; Ph.D, Dr. Sc.","redviser inc","California Letter 2"
"Vladimir Mandelshtam","vladimir mandelshtam","Professor of Chemistry, University of California, Irvine","university of california irvine","California Letter 2"
"Juan J Manfredi","juan j manfredi","Professor of Mathematics, University of Pittsburgh","university of pittsburgh","California Letter 2"
"Michael Manhart","michael manhart","Research Scientist; PhD in Analytical Chemistry",NA,"California Letter 2"
"Richard Mann","richard mann","Professor, Biochemistry and Molecular Biophysics, Columbia University","columbia university","California Letter 2"
"Andrew J Mannix","andrew j mannix","Assistant Professor, Materials Science and Engineering, Stanford University","stanford university","California Letter 2"
"Aneesh Manohar","aneesh manohar","Distinguished Professor of Physics, University of California, San Diego","university of california san diego","California Letter 2"
"Vanel Marc","vanel marc","Algebra Teacher, Southshore Charter Academy; Founder of Sherpa Math Game","southshore charter academy","California Letter 2"
"Jean-Luc Margot","jean luc margot","Professor of Astronomy and Planetary Science, University of California, Los Angeles","university of california los angeles","California Letter 2"
"David Margulies","david margulies","Retired Research Staff Member, IBM Research-Almaden Lab","ibm","California Letter 2"
"Susan Margulies","susan margulies","Associate Professor, Mathematics Department, United States Naval Academy","united states naval academy","California Letter 2"
"Alexander Margulis","alexander margulis","Chief Operating Officer, Mansfield Bio-Incubator; PhD","mansfield bio incubator","California Letter 2"
"Amelie Marian","amelie marian","Associate Professor of Computer Science, Rutgers University","rutgers university","California Letter 2"
"Ivan Marinovic","ivan marinovic","Professor of accounting, Graduate School of Business, Stanford University","stanford university","California Letter 2"
"Stanley Markow","stanley markow","Adjunct Lecturer, Mathematics Department, College of Staten Island (CSI) / CUNY; MS in Electrical Engineering","city university of new york","California Letter 2"
"Brad Marston","brad marston","Professor of Physics, Brown University; Fellow of the American Physical Society, recipient of a number of awards.","brown university","California Letter 2"
"Stephen P Martin","stephen p martin","Professor of Physics, Northern Illinois University","northern illinois university","California Letter 2"
"Maxim Martynov","maxim martynov","Software Engineer, Arista Networks; former Calculus/ODE/Linear Algebra instructor at Purdue University","purdue university","California Letter 2"
"Vadim Mashevsky","vadim mashevsky","Sr. Staff Sw Engineer",NA,"California Letter 2"
"Sergei Maslov","sergei maslov","Professor of Bioengineering and Physics, University of Illinois Urbana Champaign; U of Illinois Presidential Award and Medallion, Fellow of APS and AIMBE","university of illinois urbana champaign","California Letter 2"
"Richard Mason","richard mason","Senior Engineer, RAND Corporation","rand corporation","California Letter 2"
"Clifford Mass","clifford mass","Professor, Atmospheric Sciences, University of Washington; Ph.D. Atmospheric Sciences, numerical modeler","university of washington","California Letter 2"
"Samuel Matej","samuel matej","Research Professor of Radiology, University of Pennnsylvania","university of pennsylvania","California Letter 2"
"Norman Matloff","norman matloff","Professor of Computer Science, University of California, Davis","university of california davis","California Letter 2"
"Eric Matsumoto","eric matsumoto","Professor of Structural Engineering, California State University, Sacramento","california state university sacramento","California Letter 2"
"Abraham Matta","abraham matta","Professor and Chair of Computer Science, Boston University","boston university","California Letter 2"
"Gregory J Matthews","gregory j matthews","Associate Professor of Statistics, Loyola University Chicago; Director of Data Science Program","loyola university chicago","California Letter 2"
"Richard Matzner","richard matzner","Professor of Physics, University of Texas at Austin","university of texas austin","California Letter 2"
"Eric S Maurer","eric s maurer","Director of Classical Engagement, Regina Angelorum Academy; 2020 Archdiocese of Boston Excellence in Education Award recipient","regina angelorum academy","California Letter 2"
"Nelson L Max","nelson max","Distinguished Professor emeritus of Computer Science, University of California, Davis","university of california davis","California Letter 2"
"Alex Mackenzie Phillip May","alex mackenzie phillip may","Postdoctoral scholar, Physics, Stanford University","stanford university","California Letter 2"
"Barbara R Mayden","barbara r mayden","8th Grade Algebra 1 Teacher, Private School in Houston, TX; BA, MA, EdD (expected 2022)",NA,"California Letter 2"
"Arya Mazumdar","arya mazumdar","Associate Professor, Halicioglu Data Science Institute and Department of Computer Science and Engineering, University of California San Diego","university of california san diego","California Letter 2"
"Barry C Mazur","barry mazur","Gerharde Gade University Professor, Harvard University; National Medal of Science, Chauvenet Prize, Cole Prize, Veblen Prize","harvard university","California Letter 2"
"Aaron McCollum","aaron mccollum","AP Math and Computer Science Teacher, Richmond County School System","richmond county school system","California Letter 2"
"Bruce D McCombe","bruce d mccombe","Distinguished Professor (emeritus), Department of Physics, University at Buffalo, SUNY; Fellow APS","suny buffalo","California Letter 2"
"Elizabeth F McCord","elizabeth f mccord","Research Fellow, adjunct professor, Dupont, University of Akron; PhD chemistry, Stanford; head coach 2x world champion ftc robotics team. Currently assistant Montessori teacher for infant through five years old.","university of akron","California Letter 2"
"Sandra L McCune","sandra l mccune","Regents Professor of Mathematics (Retired), Stephen F. Austin State University","stephen f. austin state university","California Letter 2"
"Patrick McDonald","patrick mcdonald","Professor of Mathematics, New College of Florida","new college florida","California Letter 2"
"John McGreevy","john mcgreevy","Professor of Physics, University of California, San Diego","university of california san diego","California Letter 2"
"Scott A McGregor","scott a mcgregor","Chief Executive Officer (Retired), Broadcom Corporation; Fortune 500 CEO; Founder of the Broadcom Foundation","broadcom corporation","California Letter 2"
"Stephen E McKeown","stephen e mckeown","Assistant Professor of Mathematical Sciences, University of Texas at Dallas; J.D., Ph.D.","university of texas dallas","California Letter 2"
"Peter L McMahon","peter l mcmahon","Assistant Professor of Applied and Engineering Physics, Cornell University","cornell university","California Letter 2"
"Jaime E McNeil","jaime e mcneil","Engineering Manager, San Luis & Delta-Mendota Water Authority; BS Civil Engineering, CA Registered P.E.","san luis & delta mendota water authority","California Letter 2"
"Patrick Meade","patrick meade","Professor, C.N. Yang Instiute for Theoretical Physics, Stony Brook University","suny stony brook","California Letter 2"
"Aranyak Mehta","aranyak mehta","Distinguished Research Scientist, Google Research","google","California Letter 2"
"Dinesh Mehta","dinesh mehta","Professor of Computer Science, Colorado School of Mines","colorado school of mines","California Letter 2"
"Alexander H Meiburg","alexander h meiburg","PhD Candidate, Physics, University of California Santa Barbara","university of california santa barbara","California Letter 2"
"Markus Meister","markus meister","Professor of Biology and Biological Engineering, California Institute of Technology","california institute of technology","California Letter 2"
"Raghu Meka","raghu meka","Associate Professor of Computer Science, University of California, Los Angeles","university of california los angeles","California Letter 2"
"Loren K Mell","loren k mell","Professor of Radiation Medicine (Tenured), University of California, San Diego","university of california san diego","California Letter 2"
"Ray Merewether","ray merewether","Cheif Scientist, retired; 3 sole inventor patents; ~80 coinventor",NA,"California Letter 2"
"Diego A Mesa","diego a mesa","Assistant Professor of the Practice of Computer Science, Vanderbilt University","vanderbilt university","California Letter 2"
"Scott D Metzler","scott d metzler","Research Professor of Radiology, University of Pennsylvania","university of pennsylvania","California Letter 2"
"David A Meyer","david a meyer","Professor of Mathematics, University of California, San Diego","university of california san diego","California Letter 2"
"Timothy B Michael","timothy b michael","Associate Professor of Finance, University of Houston - Clear Lake","university of houston clear lake","California Letter 2"
"Curtis Michels","curtis michels","PhD Student, Mathematics, Washington State University","washington state university","California Letter 2"
"Peter F Michelson","peter f michelson","Professor of Physics, Stanford University","stanford university","California Letter 2"
"James Mickens","james mickens","Professor of Computer Science, Harvard University","harvard university","California Letter 2"
"Virgiliu Midrigan","virgiliu midrigan","Professor of Economics, New York University","new york university","California Letter 2"
"Milena Mihail","milena mihail","Associate Professor of Computer Science, University of California, Irvine","university of california irvine","California Letter 2"
"Risto Miikkulainen","risto miikkulainen","Professor of Computer Science, The University of Texas at Austin; IEEE Fellow","university of texas austin","California Letter 2"
"Ethan L Miller","ethan miller","Professor of Computer Science and Engineering, University of California, Santa Cruz; Veritas Presidential Chair in Storage Systems; IEEE Fellow; ACM Distinguished Scientist","university of california santa cruz","California Letter 2"
"Jonathan A Miller","jonathan a miller","Senior Research Scientist, Onto Innovation","onto innovation","California Letter 2"
"Kenneth D Miller","kenneth d miller","Professor, Department of Neuroscience, Columbia University; Swartz Prize for Theoretical and Computational Neuroscience","columbia university","California Letter 2"
"Laura M Miller","laura m miller","Economist (retired), NACDS; MAA High School Award Winner, 1977",NA,"California Letter 2"
"Michael Mills","michael mills","Associate Professor of Psychology, Loyola Marymount University","loyola marymount university","California Letter 2"
"Adrian B Mims Sr.","adrian b mims sr","Founder & CEO, The Calculus Project Inc.; Recipient of The 1954 Luminary Award","the calculus project inc.","California Letter 2"
"Brandon Minnihan","brandon minnihan","Data Analyst, Rocky Mountain College of Art and Design; BSc Applied Mathematics & Statistics","rocky mountain college of art and design","California Letter 2"
"Yair N Minsky","yair minsky","Einar Hille Professor of Mathematics, Yale University; Fellow of the AMS","yale university","California Letter 2"
"Ivan Mirkovic","ivan mirkovic","Research Professor, Mathematics, University of Massachussetts","university of massachusetts amherst","California Letter 2"
"Anshuman Mishra","anshuman mishra","Principal AI Researcher, Numenta","numenta","California Letter 2"
"Pratyush Mishra","pratyush mishra","Cryptographer, Aleo; PhD from UC Berkeley","aleo","California Letter 2"
"Andrew F Misseldine","andrew f misseldine","Assistant Professor of Mathematics, Southern Utah University","southern utah university","California Letter 2"
"Floyd B Mitman","floyd b mitman","Technical Director, U. S. Department of Defense","united states department of defense","California Letter 2"
"Natalie Mizik","natalie mizik","Professor of Marketing, J. Gary Shansby Endowed Chair in Marketing Strategy, Foster School of Business, University of Washington; Editor-in-Chief, Marketing Letters (Springer)","university of washington","California Letter 2"
"Umar Mohideen","umar mohideen","Professor of Physics, University of California, Riverside; Fellow, American Physical Society","university of california riverside","California Letter 2"
"Ankur Moitra","ankur moitra","Norbert Wiener Professor of Mathematics, Massachusetts Institute of Technology; Director of Statistics and Data Science","massachusetts institute of technology","California Letter 2"
"Daniel A Moncayo","daniel a moncayo","Associate Professor of Economics, Brigham Young University Idaho","brigham young university","California Letter 2"
"Kathaleena Edward Monds","kathaleena edward monds","Professor of Information Systems, Albany State University; Former STEM/STEM Fellow; Education Policy Fellow; edChoice Fellow;","suny albany","California Letter 2"
"Gina Monks","gina monks","Associate Teaching Professor of Mathematics, Penn State University Hazleton Campus; Master's in Secondary Ed Math","pennsylvania state university","California Letter 2"
"Andrea Montanari","andrea montanari","Professor of Electrical Engineering and Statistics, Stanford University","stanford university","California Letter 2"
"David S Moore","david s moore","Shanti S Gupta Distinguished Professor of Statistics, emeritus, Purdue University; 1998 President, American Statistical Association","purdue university","California Letter 2"
"Isam Moore","isam moore","PhD Student, Physics, University of Oregon","university of oregon","California Letter 2"
"Nick J Moore","nick j moore","Associate Professor of Mathematics, United States Naval Academy; PhD","united states naval academy","California Letter 2"
"Stephen C Moore","stephen c moore","Adjunct Associate Professor of Radiology, University of Pennsylvania","university of pennsylvania","California Letter 2"
"Robert J Morell","robert j morell","Staff Scientist, NIDCD, National Institute of Health","national institute of health","California Letter 2"
"Gabriele Morra","gabriele morra","Associate Professor of Physics, University of Louisiana at Lafayette","university of louisiana lafayette","California Letter 2"
"James A Morrow","james a morrow","Emeritus Professor of Mathematics, University of Washington; M. Gweneth Humphreys Award","university of washington","California Letter 2"
"Niema Moshiri","niema moshiri","Assistant Teaching Professor of Computer Science & Engineering, University of California, San Diego","university of california san diego","California Letter 2"
"Dana Moshkovitz","dana moshkovitz","Professor of Computer Science, University of Texas at Austin","university of texas austin","California Letter 2"
"Michael C Mozer","michael c mozer","Professor / Research Scientist, University of Colorado, Boulder / Google","university of colorado","California Letter 2"
"Shankar Mukherji","shankar mukherji","Assistant Professor of Physics and Cell Biology & Physiology, Washington University in St Louis","washington university saint louis","California Letter 2"
"Robert L Mullen","robert l mullen","Professor of Civil and Environmental Engineering, University of South Carolina; Fellow ASCE","university of south carolina","California Letter 2"
"Richard A Muller","richard a muller","Professor of Physics (emeritus), University of California, Berkeley; Distinguished Teaching Award, U.C. Berkeley; Donald Sterling Noyce Prize for Excellence in Undergraduate Teaching; Best Class on UC Berkeley Campus, by student vote","university of california berkeley","California Letter 2"
"David B Mumford","david mumford","University Professor Emeritus, Brown University; Fields Medal, former President of the International Mathematics Union","brown university","California Letter 2"
"Christopher Murphy","christopher murphy","Associate Professor of Mathematics, Guilford Technical Community College","guilford technical community college","California Letter 2"
"Kevin Murphy","kevin murphy","Senior Staff Research Scientist, Google Research (Brain Team); PhD","google","California Letter 2"
"Venkatesh N Murthy","venkatesh n murthy","Professor and Director of Center for Brain Science, Harvard University","harvard university","California Letter 2"
"Wojciech Musial","wojciech musial","Quantitive researcher",NA,"California Letter 2"
"Larry Musolino","larry musolino","Lecturer, Mathematics and Statistics, Pennsylvania State University; Professional Engineer (State of PA)","pennsylvania state university","California Letter 2"
"Mircea Mustata","mircea mustata","Professor of Mathematics, University of Michigan","university of michigan","California Letter 2"
"Jit Muthuswamy","jit muthuswamy","Associate Professor, Biomedical Engineering, Arizona State University, Tempe, AZ","arizona state university","California Letter 2"
"Yonatan Naamad","yonatan naamad","Applied Scientist, Amazon; PhD","amazon","California Letter 2"
"Sergey Nadtochiy","sergey nadtochiy","Associate Professor of Applied Mathematics, Illinois Institute of Technology","illinois institute of technology","California Letter 2"
"Mayur Naik","mayur naik","Professor and Graduate Chair of Computer and Information Science, University of Pennsylvania","university of pennsylvania","California Letter 2"
"Masato R Nakamura","masato r nakamura","Associate Professor and Department Chair, Department of Mechanical Engineering Technology, City Tech, CUNY","city university of new york","California Letter 2"
"Rahul Nandkishore","rahul nandkishore","Associate Professor of Physics and Fellow, Center for Theory of Quantum Matter, University of Colorado Boulder","university of colorado","California Letter 2"
"Balasubramanian Narasimhan","balasubramanian narasimhan","Senior Research Scientist, Department of Statistics, Stanford University","stanford university","California Letter 2"
"Melvyn B Nathanson","melvyn b nathanson","Professor of Mathematics, CUNY (Lehman College and Graduate Center); Fellow of the AMS","city university of new york","California Letter 2"
"Michael Neff","michael neff","Professor of Computer Science, University of California, Davis","university of california davis","California Letter 2"
"Jelani Nelson","jelani nelson","Professor of Computer Science, University of California, Berkeley","university of california berkeley","California Letter 2"
"Ilya M Nemenman","ilya m nemenman","Professor of Physics and Biology, Emory University; Fellow, American Physical Society; Simons Investigator","emory university","California Letter 2"
"Jacob M Newman","jacob m newman","Professor of Chemistry and Physics, Touro College","touro college","California Letter 2"
"Paul K Newton","paul k newton","Professor, University of Southern California; PhD Applied Mathematics","university of southern california","California Letter 2"
"Sajjad Nezhadi","sajjad nezhadi","Graduate Student in Computer Science, University of Maryland","university of maryland college park","California Letter 2"
"Hung Ngo","hung ngo","VP of Research, RelationalAI Inc.; Former professor of Computer Science at SUNY Buffalo","suny buffalo","California Letter 2"
"Cindy Nguyen","cindy nguyen","Civil Engineer, AECOM","aecom","California Letter 2"
"Yi Ni","yi ni","Professor of Mathematics, California Institute of Technology","california institute of technology","California Letter 2"
"Richard J Nieporent","richard j nieporent","Lecturer, Computer Science, Johns Hopkins University; PhD in Physics","johns hopkins university","California Letter 2"
"Dimitrios Nikolopoulos","dimitrios nikolopoulos","John W. Hancock Professor of Engineering, Virginia Tech","virginia tech","California Letter 2"
"Maria Nikolova","maria nikolova","Laboratory Manager, The Rockefeller University","rockefeller university","California Letter 2"
"Cristiano Nisoli","cristiano nisoli","Scientist, Los Alamos National Laboratory","los alamos national laboratory","California Letter 2"
"Anantha Kumar Nivarti","anantha kumar nivarti","Sr Staff Hardware Engineer, Tesla Apple AMD; Semiconductor professional. CPU designer. Math lover. Graduated from NITK India","tesla","California Letter 2"
"Armita Nourmohammad","armita nourmohammad","Assistant Professor of Physics, University of Washington","university of washington","California Letter 2"
"Mark F Novak","mark f novak","Director, JPMorgan Chase & Co.","jpmorgan chase","California Letter 2"
"Dmitry Novikov","dmitry s. novikov","Associate Professor of Radiology, New York University School of Medicine","new york university","California Letter 2"
"Maxim I Novikov, MD","maxim i novikov, md","Anesthesiologist, Geisinger Medical Center","geisinger medical center","California Letter 2"
"Elena I Novikova","elena i novikova","Senior Principal Software Engineer - II, BAE Systems; PhD in Civil Engineering from USC, Los Angeles","bae systems","California Letter 2"
"Ellen R Novoseller","ellen r novoseller","Postdoctoral researcher, AUTOLab, University of California, Berkeley","university of california berkeley","California Letter 2"
"Yevgeniya Nusinovich","yevgeniya nusinovich","Senior Editor, American Association for the Advancement of Science; Former researcher, now senior editor of Science Magazine","american association for the advancement of science","California Letter 2"
"Zohar Nussinov","zohar nussinov","Professor of Physics, Washington University in Saint Louis","washington university saint louis","California Letter 2"
"Darian O Nwankwo","darian o nwankwo","PhD Candidate, Computer Science, Cornell University","cornell university","California Letter 2"
"Mark R O'Brian","mark r o'brian","Professor and Chair of Biochemistry, University at Buffalo","suny buffalo","California Letter 2"
"Barbara A Oakley","barbara a oakley","Distinguished Professor of Engineering, Oakland University; Fellow of IEEE and AIMBE; Michigan Distinguished Professor of the Year; Coursera’s inaugural “Innovation Instructor.”","oakland university","California Letter 2"
"Matt Ocko","matt ocko","Managing Partner, DCVC; Yale physics; multi-$billion venture capital returns from companies materially transforming US and global security, prosperity, health, and equality of opportunity; over 50 patents",NA,"California Letter 2"
"Vadim Oganesyan","vadim oganesyan","Professor of Physics, The City University of New York","city university of new york","California Letter 2"
"John Oh","john oh","SVP, Data Science, PennyMac","pennymac","California Letter 2"
"Lee E Ohanian","lee ohanian","Distinguished Professor of Economics, University of California, Los Angeles; Senior Fellow, Hoover Institution, Stanford University","university of california los angeles","California Letter 2"
"Kasso Okoudjou","kasso okoudjou","Professor of Mathematics, Tufts University; Member of the AMS Council","tufts university","California Letter 2"
"Maxim Olchanyi","maxim olchanyi","Professor of Physics, University of Massachusetts Boston; Fellow of the American Physical Society","university of massachusetts boston","California Letter 2"
"Victor Olman","victor olman","Research Professor, Computer Science, University of Georgia","university of georgia","California Letter 2"
"Bruno A Olshausen","bruno olshausen","Professor of Neuroscience and Optometry, University of California, Berkeley","university of california berkeley","California Letter 2"
"Alex Olshevsky","alex olshevsky","Associate Professor of Electrical and Computer Engineering, Boston University","boston university","California Letter 2"
"Alexey Onufriev","alexey onufriev","Professor of Computer Science and Physics, Virginia Tech","virginia tech","California Letter 2"
"Taiwo Orogbangba","taiwo orogbangba","Database Administrator; M.Sc in Computer Science",NA,"California Letter 2"
"Kathryn D Ortega","kathryn d ortega","Math Teacher, Oakland Unified School District","oakland unified school district","California Letter 2"
"Andrei Osipov","andrei osipov","Research Scientist, D. E. Shaw Research; Ph. D. in Applied Mathematics, Yale University","yale university","California Letter 2"
"Mark H Oskin","mark h oskin","Professor of Computer Science and Engineering; School of Computer Science and Engineering, University of Washington","university of washington","California Letter 2"
"Delfino Osorio Garcia","delfino osorio garcia","Instructional Coach, Hermiston School District","hermiston school district","California Letter 2"
"Rafail Ostrovsky","rafail ostrovsky","Distinguished Professor of Computer Science and Mathematics, University of California, Los Angeles; IEEE, IACR Fellow, a foreign member of Academia Europaea","university of california los angeles","California Letter 2"
"Onyema Osuagwu","onyema osuagwu","Associate Professor, Electrical and Computer Engineering, Morgan State University; Assistant Director, Cybersecurity Assurance and Policy Center","morgan state university","California Letter 2"
"Sharon L Oviatt","sharon l oviatt","Professor, School of Engineering, Monash University; ACM Fellow, SigCHI Academy member","monash university","California Letter 2"
"Art Owen","art owen","Professor of Statistics, Stanford University; Statistical Society of Canada Gold Medal, Noether Senior Scholar Award, American Statistical Association","stanford university","California Letter 2"
"Hakan Ozadam","hakan ozadam","Research Scientist, University of Texas at Austin","university of texas austin","California Letter 2"
"Peter S Ozsváth","peter ozsvath","Professor of Mathematics, Princeton University; National Academy of Sciences (NAS), Guggeinheim Fellow, Oswald Veblen Prize in Geometry","princeton university","California Letter 2"
"Sonia Paban","sonia paban","Associate Professor of Physics, University of Texas at Austin","university of texas austin","California Letter 2"
"Carlos H Padilla","carlos h padilla","Adjunct Professor of Economics, University of the Potomac","university of the potomac","California Letter 2"
"Josh Padilla","josh padilla","PhD Student, Environmental Science, Louisiana State University","louisiana state university","California Letter 2"
"Thomas B Paine","thomas b paine","Investment Advisor/ Analyst, Paine Financial Services","paine financial services","California Letter 2"
"Peter Michael Palese","peter michael palese","Professor &Chair, Department of Microbiology, Icahn School of Medicine at Mount Sinai; Member of the National Academy of Science, of the National Academy of Medicine and of the American Academy of Arts and Sciences","icahn school of medicine at mount sinai","California Letter 2"
"Christopher Palmer","christopher palmer","Assistant Professor of Finance, Massachusetts Institute of Technology","massachusetts institute of technology","California Letter 2"
"David D Palmer","david d palmer","AI Researcher; PhD in Electrical Engineering, University of Washington","university of washington","California Letter 2"
"Victor V Pambuccian","victor v pambuccian","Professor of Mathematics, Arizona State University","arizona state university","California Letter 2"
"Ioannis Panageas","ioannis panageas","Assistant Professor of Computer Science, University of California, Irvine","university of california irvine","California Letter 2"
"Julian Panetta","julian panetta","Assistant Professor of Computer Science, University of California, Davis","university of california davis","California Letter 2"
"Ruoming Pang","ruoming pang","Distinguished Engineer, Apple","apple","California Letter 2"
"Periklis A Papakonstantinou","periklis a papakonstantinou","Associate Professor, Rutgers University, Rutgers Business School","rutgers university","California Letter 2"
"Charalampos Papamanthou","charalampos papamanthou","Associate Professor of Computer Science, Yale University; Co-director of Yale Applied Cryptography Laboratory","yale university","California Letter 2"
"George J Pappas","george j pappas","UPS Foundation Professor of Electrical and Systems Engineering, University of Pennsylvania","university of pennsylvania","California Letter 2"
"Dana Paquin","dana paquin","Professor of Mathematics, Stanford University; California Polytechnic State University; Former Director of the Stanford Math Circle","stanford university","California Letter 2"
"Robert Parham","robert parham","Assistant Professor of Finance, University of Virginia","university of virginia","California Letter 2"
"Edward Parker","edward parker","Physical Scientist, RAND Corporation","rand corporation","California Letter 2"
"Pranav Parthasarathy","pranav parthasarathy","Trader; BA Computer Science, UC Berkeley 2019","university of california berkeley","California Letter 2"
"Raghuveer Parthasarathy","raghuveer parthasarathy","Professor of Physics, University of Oregon; Fellow, American Physical Society","university of oregon","California Letter 2"
"Allen J Paskewitz","allen j paskewitz","8th grade Mathematics Teacher, East Hartford Public Schools, CT; BA Actuarial Science","east hartford public schools","California Letter 2"
"Ramamohan Paturi","ramamohan paturi","Professor, Computer Science and Engineering,, University of California, San Diego","university of california san diego","California Letter 2"
"David A Paul","david a paul","Director of Embedded Software, Serious Integrated; BSEE, Masters in Business, minor in Mathematics","serious integrated","California Letter 2"
"Jonathan J Paulson","jonathan j paulson","Software Engineer",NA,"California Letter 2"
"Macdonald Peebles","macdonald peebles","Systems and Software Engineer, AeroVironment","aerovironment","California Letter 2"
"Chris Peikert","chris peikert","Professor, Computer Science and Engineering, University of Michigan","university of michigan","California Letter 2"
"Robert Pelcovits","robert pelcovits","Professor of Physics, Brown University","brown university","California Letter 2"
"Bruce E Pell","bruce e pell","Assistant Professor, Mathematics and Computer Science, Lawrence Technological University","lawrence technological university","California Letter 2"
"Will Perkins","will perkins","Associate Professor, Mathematics, Statistics, and Computer Science, University of Illinois at Chicago","university of illinois chicago","California Letter 2"
"Seth Pettie","seth pettie","Professor of EECS, University of Michigan","university of michigan","California Letter 2"
"Chris L Pettit","chris l pettit","Professor of Aerospace Engineering and Department Chair, U.S. Naval Academy","united states naval academy","California Letter 2"
"Pavel Pevzner","pavel pevzner","Professor, Computer Science and Engineering,, University of California, San Diego; ACM Kanellakis Theory and Practice Award, International Society for Computational Biology Senior Scientist Award","university of california san diego","California Letter 2"
"Charles Pham","charles pham","Principal Product Manager, Amazon, Amazon","amazon","California Letter 2"
"Hoang Pham","hoang pham","Assistant Professor of Economics, Oregon State University","oregon state university","California Letter 2"
"Russell J Phelan","russell j phelan","PhD Student, Mathematics, University of California Riverside","university of california riverside","California Letter 2"
"William D Phillips","william d phillips","Distinguished University Professor, University of Maryland; Nobel Prize in Physics 1997","university of maryland college park","California Letter 2"
"E. Sterl Phinney","sterl phinney","Professor of Theoretical Astrophysics, California Institute of Technology","california institute of technology","California Letter 2"
"Joseph Picone","joseph picone","Professor of Electrical and Computer Engineering, Temple University","temple university","California Letter 2"
"Krzysztof Pilch","krzysztof pilch","Professor of Physics and Astronomy, University of Southern California","university of southern california","California Letter 2"
"Asier Pineiro Orioli","asier pineiro orioli","Postdoctoral Researcher, Physics, JILA, University of Colorado, Boulder","university of colorado","California Letter 2"
"Kristofer Pister","kristofer pister","Professor, Electrical Engineering and Computer Sciences, University of California, Berkeley","university of california berkeley","California Letter 2"
"Jonathan Plesser","jonathan plesser","Mathematics Teacher, C. E. Jordan High School","c. e. jordan high school","California Letter 2"
"M. Ronen Plesser","m ronen plesser","Professor of Physics and Mathematics, Duke University","duke university","California Letter 2"
"Oleg Pliss","oleg pliss","Software Engineer",NA,"California Letter 2"
"Jennifer S Poehlmann","jennifer s poehlmann","Senior Lecturer of Chemistry, Introductory Course Coordinator, Stanford University","stanford university","California Letter 2"
"Hunter Poitevint","hunter poitevint","Principal Software Engineering Lead, Microsoft","microsoft","California Letter 2"
"Dave Polidori","dave polidori","Senior Director and Research Fellow, Janssen Research and Development","janssen","California Letter 2"
"Anatoli Polkovnikov","anatoli polkovnikov","Professor of Physics, Boston University","boston university","California Letter 2"
"Nancy B Pollard","nancy b pollard","Instructor, Biology, Chattanooga State Community College; MD, MPH in Epidemiology","chattanooga state community college","California Letter 2"
"Olga Polyanskaya","olga polyanskaya","Statistician, Forma Therapeutics","forma therapeutics","California Letter 2"
"Yury Polyanskiy","yury polyanskiy","Associate Professor of Electrical Engineering and Computer Science, Massachusetts Institute of Technology","massachusetts institute of technology","California Letter 2"
"Bjorn Poonen","bjorn poonen","Distinguished Professor in Science, Massachusetts Institute of Technology; American Academy of Arts and Sciences, Packard Fellow, Simons Investigator","massachusetts institute of technology","California Letter 2"
"Sebastian Pop","sebastian pop","Sr Software Developer, Amazon Web Services; PhD Computer Science - Ecole des mines de Paris","amazon","California Letter 2"
"Mihnea Popa","mihnea popa","Professor of Mathematics, Harvard University; AMS Centennial Fellow, AMS Fellow, Simons Fellow","harvard university","California Letter 2"
"Raluca A Popa","raluca a popa","Associate Professor of Computer Science, University of California, Berkeley","university of california berkeley","California Letter 2"
"Valentina Postelnicu","valentina postelnicu","Assistant Professor, Governors State University","governors state university","California Letter 2"
"Sandeep Pradhan","sandeep pradhan","Professor of Electrical Engineering and Computer Science, University of Michigan","university of michigan","California Letter 2"
"Surya G Prakash","surya g prakash","Professor and George A. and Judith A. Olah Nobel Laureate Chair in Hydrocarbon Chemistry, University of Southern California","university of southern california","California Letter 2"
"Joya D Pramanik","joya d pramanik","Engineering Program Manager; Chemical engineering PhD",NA,"California Letter 2"
"Gopal Prasad","gopal prasad","Raoul Bott Professor Emeritus of Mathematics, University of Michigan; Guggenheim Foundation Fellowship, Humboldt Foundation Lifetime achievement award, Fellow of the American Math Society","university of michigan","California Letter 2"
"Jay R Prasad","jay r prasad","Chief Strategy Officer, LiveRamp; Masters degree in blockchain","liveramp","California Letter 2"
"Kisalaya Prasad","kisalaya prasad","Software Engineer, Robinhood","robinhood","California Letter 2"
"John Preskill","john preskill","Richard P. Feynman Professor of Theoretical Physics, California Institute of Technology; Member, National Academy of Sciences","california institute of technology","California Letter 2"
"Steve Pressé","steve presse","Professor of Physics and Chemistry, Arizona State University","arizona state university","California Letter 2"
"Eric Price","eric price","Associate Professor of Computer Science, University of Texas at Austin","university of texas austin","California Letter 2"
"Barbara Prinari","barbara prinari","Professor of Mathematics, University at Buffalo","suny buffalo","California Letter 2"
"Andrew Prock","andrew prock","Director of Search and Catalog, ShopStyle; BA Math, MS/ABD Machine Learning, 25 years education professional/volunteer, MOEMS PICO","shopstyle","California Letter 2"
"Marija Prokopijevic","marija prokopijevic","Software Engineering Manager, Meta","meta","California Letter 2"
"Craig E Pryor","craig e pryor","Associate Professor, Physics, University of Iowa","university of iowa","California Letter 2"
"Molly Przeworski","molly przeworski","Professor of Biological Sciences and of Systems Biology, Columbia University","columbia university","California Letter 2"
